1,汉和资本1期,P003876,,,,
2,东方港湾马拉松一号,P014028,,,,
3,平安信托中欧瑞博9期,P042068,,,,
4,保银紫荆怒放（港股）,P047335,,,,
5,外贸信托重阳对冲2号,P004622,,,,
6,投资精英之星石A,P000941,,,,
7,华润信托明达,P000653,,,,
8,中信信托大朴进取1期,P001698,,,,
9,重阳陆港灵活一号子基金B期,P078002,,,,
10,高毅新方程晓峰2号致信1号,P130168,,,,
11,陆家嘴信托尊享和聚,P008299,,,,
12,山东信托鸿道1期,P000277,,,,
13,民森A号,P000670,,,,
14,理成风景1期,P039705,,,,
15,华润信托望正一号,P011664,,,,
16,泓澄投资,P014831,,,,
17,投资精英之朱雀A,P000935,,,,
18,中融世诚扬子三号,P000807,,,,
19,平安财富淡水泉成长一期,P000169,,,,
20,鼎锋成长一期,P000125,,,,
21,中信信托汇利5期,P000397,,,,
22,中信上善若水3期成长策略精选,P004567,,,,
23,平安财富投资精英之景林,P084847,,,,
24,鑫兰瑞,P001017,,,,
25,中信信托源乐晟5期,P001116,,,,
26,丰岭精选A期,P015444,,,,
27,九坤日享中证500指数增强1号,P076258,,,,
28,九章幻方中证500量化多策略1号,P051921,,,,
29,灵均量化选股尊享1期,P084572,,,,
30,明汯价值成长1期1号,P079306,,,,
31,泓信泓筹价值一号,P017495,,,,
32,艾叶瓦洛兰,P015110,,,,
33,盛冠达股票量化2号基金,P030225,,,,
34,隆腾1号,P018365,,,,
35,共盈大岩量化进取,P004653,,,,
36,因诺桢诚1号,P036598,,,,
37,证大稳健增长,P001193,,,,
